Time_Segment,Holiday,Weekend Return,VVM10,Season,Exceeds Threshold
2-6,No,No,Medium,Winter,0
6-10,No,No,Medium,Winter,1
10-14,No,No,Medium,Winter,1
14-18,No,No,Medium,Winter,1
18-22,No,No,Medium,Winter,1
22-2,No,No,Medium,Winter,0
2-6,No,No,Medium,Winter,0
6-10,No,No,Medium,Winter,1
10-14,No,No,Medium,Winter,1
14-18,No,No,Medium,Winter,1
18-22,No,No,Medium,Winter,1
22-2,No,No,Medium,Winter,0
2-6,No,No,High,Winter,0
6-10,No,No,High,Winter,1
10-14,No,No,High,Winter,1
14-18,No,No,High,Winter,1
18-22,No,No,High,Winter,0
22-2,No,No,High,Winter,0
2-6,Yes,No,High,Winter,0
6-10,Yes,No,High,Winter,0
10-14,Yes,No,High,Winter,0
14-18,Yes,No,High,Winter,1
18-22,Yes,No,High,Winter,0
22-2,Yes,No,High,Winter,0
2-6,Yes,Yes,High,Winter,0
6-10,Yes,Yes,High,Winter,0
10-14,Yes,Yes,High,Winter,1
14-18,Yes,Yes,High,Winter,0
18-22,Yes,Yes,High,Winter,0
22-2,Yes,Yes,High,Winter,0
2-6,No,No,High,Winter,0
6-10,No,No,High,Winter,1
10-14,No,No,High,Winter,1
14-18,No,No,High,Winter,1
18-22,No,No,High,Winter,0
22-2,No,No,High,Winter,0
2-6,No,No,Medium,Winter,0
6-10,No,No,Medium,Winter,1
10-14,No,No,Medium,Winter,1
14-18,No,No,Medium,Winter,1
18-22,No,No,Medium,Winter,0
22-2,No,No,Medium,Winter,0
2-6,No,No,Medium,Winter,0
6-10,No,No,Medium,Winter,0
10-14,No,No,Medium,Winter,1
14-18,No,No,Medium,Winter,1
18-22,No,No,Medium,Winter,1
22-2,No,No,Medium,Winter,0
2-6,No,No,Medium,Winter,0
6-10,No,No,Medium,Winter,1
10-14,No,No,Medium,Winter,1
14-18,No,No,Medium,Winter,1
18-22,No,No,Medium,Winter,1
22-2,No,No,Medium,Winter,0
2-6,No,No,High,Winter,0
6-10,No,No,High,Winter,1
10-14,No,No,High,Winter,1
14-18,No,No,High,Winter,1
18-22,No,No,High,Winter,1
22-2,No,No,High,Winter,0
2-6,Yes,No,High,Winter,0
6-10,Yes,No,High,Winter,0
10-14,Yes,No,High,Winter,1
14-18,Yes,No,High,Winter,1
18-22,Yes,No,High,Winter,1
22-2,Yes,No,High,Winter,1
2-6,Yes,Yes,Medium,Winter,0
6-10,Yes,Yes,Medium,Winter,0
10-14,Yes,Yes,Medium,Winter,0
14-18,Yes,Yes,Medium,Winter,0
18-22,Yes,Yes,Medium,Winter,0
22-2,Yes,Yes,Medium,Winter,0
2-6,No,No,Medium,Winter,0
6-10,No,No,Medium,Winter,0
10-14,No,No,Medium,Winter,1
14-18,No,No,Medium,Winter,1
18-22,No,No,Medium,Winter,0
22-2,No,No,Medium,Winter,0
2-6,No,No,High,Winter,0
6-10,No,No,High,Winter,1
10-14,No,No,High,Winter,0
14-18,No,No,High,Winter,1
18-22,No,No,High,Winter,1
22-2,No,No,High,Winter,0
2-6,No,No,High,Winter,0
6-10,No,No,High,Winter,1
10-14,No,No,High,Winter,1
14-18,No,No,High,Winter,1
18-22,No,No,High,Winter,1
22-2,No,No,High,Winter,0
2-6,No,No,Medium,Winter,0
6-10,No,No,Medium,Winter,1
10-14,No,No,Medium,Winter,1
14-18,No,No,Medium,Winter,1
18-22,No,No,Medium,Winter,0
22-2,No,No,Medium,Winter,0
2-6,No,No,Medium,Winter,0
6-10,No,No,Medium,Winter,0
10-14,No,No,Medium,Winter,1
14-18,No,No,Medium,Winter,1
18-22,No,No,Medium,Winter,1
22-2,No,No,Medium,Winter,0
2-6,Yes,No,High,Winter,0
6-10,Yes,No,High,Winter,0
10-14,Yes,No,High,Winter,1
14-18,Yes,No,High,Winter,1
18-22,Yes,No,High,Winter,1
22-2,Yes,No,High,Winter,1
2-6,Yes,Yes,High,Winter,0
6-10,Yes,Yes,High,Winter,0
10-14,Yes,Yes,High,Winter,0
14-18,Yes,Yes,High,Winter,0
18-22,Yes,Yes,High,Winter,1
22-2,Yes,Yes,High,Winter,0
2-6,No,No,Medium,Winter,0
6-10,No,No,Medium,Winter,1
10-14,No,No,Medium,Winter,1
14-18,No,No,Medium,Winter,1
18-22,No,No,Medium,Winter,1
22-2,No,No,Medium,Winter,0
2-6,No,No,High,Winter,0
6-10,No,No,High,Winter,0
10-14,No,No,High,Winter,1
14-18,No,No,High,Winter,0
18-22,No,No,High,Winter,1
22-2,No,No,High,Winter,0
2-6,No,No,Medium,Winter,0
6-10,No,No,Medium,Winter,1
10-14,No,No,Medium,Winter,1
14-18,No,No,Medium,Winter,1
18-22,No,No,Medium,Winter,1
22-2,No,No,Medium,Winter,0
2-6,No,No,Medium,Winter,0
6-10,No,No,Medium,Winter,0
10-14,No,No,Medium,Winter,1
14-18,No,No,Medium,Winter,1
18-22,No,No,Medium,Winter,0
22-2,No,No,Medium,Winter,0
2-6,No,No,Medium,Winter,0
6-10,No,No,Medium,Winter,1
10-14,No,No,Medium,Winter,1
14-18,No,No,Medium,Winter,1
18-22,No,No,Medium,Winter,1
22-2,No,No,Medium,Winter,0
2-6,Yes,No,Medium,Winter,0
6-10,Yes,No,Medium,Winter,0
10-14,Yes,No,Medium,Winter,0
14-18,Yes,No,Medium,Winter,1
18-22,Yes,No,Medium,Winter,0
22-2,Yes,No,Medium,Winter,0
2-6,Yes,Yes,High,Winter,0
6-10,Yes,Yes,High,Winter,0
10-14,Yes,Yes,High,Winter,0
14-18,Yes,Yes,High,Winter,0
18-22,Yes,Yes,High,Winter,1
22-2,Yes,Yes,High,Winter,0
2-6,No,No,High,Winter,0
6-10,No,No,High,Winter,1
10-14,No,No,High,Winter,1
14-18,No,No,High,Winter,0
18-22,No,No,High,Winter,0
22-2,No,No,High,Winter,0
2-6,No,No,Medium,Winter,0
6-10,No,No,Medium,Winter,1
10-14,No,No,Medium,Winter,1
14-18,No,No,Medium,Winter,1
18-22,No,No,Medium,Winter,0
22-2,No,No,Medium,Winter,0
2-6,No,No,Medium,Winter,0
6-10,No,No,Medium,Winter,1
10-14,No,No,Medium,Winter,1
14-18,No,No,Medium,Winter,1
18-22,No,No,Medium,Winter,1
22-2,No,No,Medium,Winter,0
2-6,No,No,Medium,Winter,0
6-10,No,No,Medium,Winter,1
10-14,No,No,Medium,Winter,1
14-18,No,No,Medium,Winter,1
18-22,No,No,Medium,Winter,0
22-2,No,No,Medium,Winter,0
2-6,No,No,Medium,Winter,0
6-10,No,No,Medium,Winter,0
10-14,No,No,Medium,Winter,1
14-18,No,No,Medium,Winter,1
18-22,No,No,Medium,Winter,1
22-2,No,No,Medium,Winter,0
2-6,Yes,No,Medium,Winter,0
6-10,Yes,No,Medium,Winter,0
10-14,Yes,No,Medium,Winter,0
14-18,Yes,No,Medium,Winter,1
18-22,Yes,No,Medium,Winter,1
22-2,Yes,No,Medium,Winter,0
2-6,Yes,Yes,High,Winter,0
6-10,Yes,Yes,High,Winter,0
10-14,Yes,Yes,High,Winter,0
14-18,Yes,Yes,High,Winter,0
18-22,Yes,Yes,High,Winter,0
22-2,Yes,Yes,High,Winter,0
2-6,No,No,High,Spring,0
6-10,No,No,High,Spring,0
10-14,No,No,High,Spring,1
14-18,No,No,High,Spring,0
18-22,No,No,High,Spring,1
22-2,No,No,High,Spring,0
2-6,No,No,High,Spring,0
6-10,No,No,High,Spring,0
10-14,No,No,High,Spring,0
14-18,No,No,High,Spring,1
18-22,No,No,High,Spring,1
22-2,No,No,High,Spring,0
2-6,No,No,Medium,Spring,0
6-10,No,No,Medium,Spring,1
10-14,No,No,Medium,Spring,0
14-18,No,No,Medium,Spring,1
18-22,No,No,Medium,Spring,1
22-2,No,No,Medium,Spring,0
2-6,No,No,Medium,Spring,0
6-10,No,No,Medium,Spring,1
10-14,No,No,Medium,Spring,1
14-18,No,No,Medium,Spring,1
18-22,No,No,Medium,Spring,0
22-2,No,No,Medium,Spring,0
2-6,No,No,Medium,Spring,0
6-10,No,No,Medium,Spring,0
10-14,No,No,Medium,Spring,1
14-18,No,No,Medium,Spring,0
18-22,No,No,Medium,Spring,1
22-2,No,No,Medium,Spring,0
2-6,Yes,No,Medium,Spring,0
6-10,Yes,No,Medium,Spring,0
10-14,Yes,No,Medium,Spring,0
14-18,Yes,No,Medium,Spring,1
18-22,Yes,No,Medium,Spring,1
22-2,Yes,No,Medium,Spring,0
2-6,Yes,Yes,Medium,Spring,0
6-10,Yes,Yes,Medium,Spring,0
10-14,Yes,Yes,Medium,Spring,0
14-18,Yes,Yes,Medium,Spring,0
18-22,Yes,Yes,Medium,Spring,1
22-2,Yes,Yes,Medium,Spring,0
2-6,No,No,Medium,Spring,0
6-10,No,No,Medium,Spring,1
10-14,No,No,Medium,Spring,1
14-18,No,No,Medium,Spring,0
18-22,No,No,Medium,Spring,0
22-2,No,No,Medium,Spring,0
2-6,No,No,Medium,Spring,0
6-10,No,No,Medium,Spring,1
10-14,No,No,Medium,Spring,1
14-18,No,No,Medium,Spring,1
18-22,No,No,Medium,Spring,0
22-2,No,No,Medium,Spring,0
2-6,No,No,High,Spring,0
6-10,No,No,High,Spring,1
10-14,No,No,High,Spring,1
14-18,No,No,High,Spring,1
18-22,No,No,High,Spring,1
22-2,No,No,High,Spring,0
2-6,No,No,High,Spring,0
6-10,No,No,High,Spring,0
10-14,No,No,High,Spring,1
14-18,No,No,High,Spring,1
18-22,No,No,High,Spring,1
22-2,No,No,High,Spring,0
2-6,No,No,Medium,Spring,0
6-10,No,No,Medium,Spring,0
10-14,No,No,Medium,Spring,1
14-18,No,No,Medium,Spring,1
18-22,No,No,Medium,Spring,1
22-2,No,No,Medium,Spring,0
2-6,Yes,No,High,Spring,0
6-10,Yes,No,High,Spring,0
10-14,Yes,No,High,Spring,1
14-18,Yes,No,High,Spring,1
18-22,Yes,No,High,Spring,1
22-2,Yes,No,High,Spring,0
2-6,Yes,Yes,Medium,Spring,0
6-10,Yes,Yes,Medium,Spring,0
10-14,Yes,Yes,Medium,Spring,1
14-18,Yes,Yes,Medium,Spring,0
18-22,Yes,Yes,Medium,Spring,0
22-2,Yes,Yes,Medium,Spring,1
2-6,No,No,High,Spring,0
6-10,No,No,High,Spring,1
10-14,No,No,High,Spring,1
14-18,No,No,High,Spring,1
18-22,No,No,High,Spring,1
22-2,No,No,High,Spring,0
2-6,No,No,Medium,Spring,0
6-10,No,No,Medium,Spring,1
10-14,No,No,Medium,Spring,1
14-18,No,No,Medium,Spring,1
18-22,No,No,Medium,Spring,1
22-2,No,No,Medium,Spring,0
2-6,No,No,Medium,Spring,0
6-10,No,No,Medium,Spring,1
10-14,No,No,Medium,Spring,1
14-18,No,No,Medium,Spring,1
18-22,No,No,Medium,Spring,1
22-2,No,No,Medium,Spring,0
2-6,No,No,High,Spring,0
6-10,No,No,High,Spring,0
10-14,No,No,High,Spring,1
14-18,No,No,High,Spring,1
18-22,No,No,High,Spring,1
22-2,No,No,High,Spring,0
2-6,No,No,Medium,Spring,0
6-10,No,No,Medium,Spring,0
10-14,No,No,Medium,Spring,0
14-18,No,No,Medium,Spring,1
18-22,No,No,Medium,Spring,1
22-2,No,No,Medium,Spring,0
2-6,Yes,No,High,Spring,0
6-10,Yes,No,High,Spring,0
10-14,Yes,No,High,Spring,1
14-18,Yes,No,High,Spring,1
18-22,Yes,No,High,Spring,1
22-2,Yes,No,High,Spring,0
2-6,Yes,Yes,Medium,Spring,0
6-10,Yes,Yes,Medium,Spring,0
10-14,Yes,Yes,Medium,Spring,1
14-18,Yes,Yes,Medium,Spring,1
18-22,Yes,Yes,Medium,Spring,0
22-2,Yes,Yes,Medium,Spring,0
2-6,No,No,Medium,Spring,0
6-10,No,No,Medium,Spring,1
10-14,No,No,Medium,Spring,1
14-18,No,No,Medium,Spring,1
18-22,No,No,Medium,Spring,1
22-2,No,No,Medium,Spring,0
2-6,No,No,Medium,Spring,0
6-10,No,No,Medium,Spring,1
10-14,No,No,Medium,Spring,1
14-18,No,No,Medium,Spring,1
18-22,No,No,Medium,Spring,1
22-2,No,No,Medium,Spring,0
2-6,No,No,Medium,Spring,0
6-10,No,No,Medium,Spring,0
10-14,No,No,Medium,Spring,1
14-18,No,No,Medium,Spring,1
18-22,No,No,Medium,Spring,1
22-2,No,No,Medium,Spring,0
2-6,No,No,Medium,Spring,0
6-10,No,No,Medium,Spring,1
10-14,No,No,Medium,Spring,1
14-18,No,No,Medium,Spring,1
18-22,No,No,Medium,Spring,1
22-2,No,No,Medium,Spring,0
2-6,No,No,High,Spring,0
6-10,No,No,High,Spring,1
10-14,No,No,High,Spring,1
14-18,No,No,High,Spring,1
18-22,No,No,High,Spring,1
22-2,No,No,High,Spring,0
2-6,Yes,No,Medium,Spring,0
6-10,Yes,No,Medium,Spring,0
10-14,Yes,No,Medium,Spring,1
14-18,Yes,No,Medium,Spring,1
18-22,Yes,No,Medium,Spring,1
22-2,Yes,No,Medium,Spring,0
2-6,Yes,Yes,Medium,Spring,0
6-10,Yes,Yes,Medium,Spring,0
10-14,Yes,Yes,Medium,Spring,0
14-18,Yes,Yes,Medium,Spring,1
18-22,Yes,Yes,Medium,Spring,1
22-2,Yes,Yes,Medium,Spring,0
2-6,No,No,Medium,Spring,0
6-10,No,No,Medium,Spring,1
10-14,No,No,Medium,Spring,1
14-18,No,No,Medium,Spring,1
18-22,No,No,Medium,Spring,1
22-2,No,No,Medium,Spring,0
2-6,No,No,Medium,Spring,0
6-10,No,No,Medium,Spring,0
10-14,No,No,Medium,Spring,1
14-18,No,No,Medium,Spring,0
18-22,No,No,Medium,Spring,1
22-2,No,No,Medium,Spring,0
2-6,No,No,Medium,Spring,0
6-10,No,No,Medium,Spring,0
10-14,No,No,Medium,Spring,1
14-18,No,No,Medium,Spring,1
18-22,No,No,Medium,Spring,1
22-2,No,No,Medium,Spring,0
2-6,No,No,Medium,Spring,0
6-10,No,No,Medium,Spring,0
10-14,No,No,Medium,Spring,1
14-18,No,No,Medium,Spring,1
18-22,No,No,Medium,Spring,1
22-2,No,No,Medium,Spring,1
2-6,No,No,High,Spring,0
6-10,No,No,High,Spring,0
10-14,No,No,High,Spring,0
14-18,No,No,High,Spring,0
18-22,No,No,High,Spring,0
22-2,No,No,High,Spring,0
2-6,Yes,No,Medium,Spring,0
6-10,Yes,No,Medium,Spring,0
10-14,Yes,No,Medium,Spring,0
14-18,Yes,No,Medium,Spring,1
18-22,Yes,No,Medium,Spring,0
22-2,Yes,No,Medium,Spring,0
2-6,Yes,Yes,Medium,Spring,0
6-10,Yes,Yes,Medium,Spring,0
10-14,Yes,Yes,Medium,Spring,0
14-18,Yes,Yes,Medium,Spring,0
18-22,Yes,Yes,Medium,Spring,1
22-2,Yes,Yes,Medium,Spring,0
2-6,No,No,High,Spring,0
6-10,No,No,High,Spring,0
10-14,No,No,High,Spring,1
14-18,No,No,High,Spring,0
18-22,No,No,High,Spring,0
22-2,No,No,High,Spring,0
2-6,No,No,Medium,Spring,0
6-10,No,No,Medium,Spring,1
10-14,No,No,Medium,Spring,0
14-18,No,No,Medium,Spring,1
18-22,No,No,Medium,Spring,1
22-2,No,No,Medium,Spring,0
2-6,No,No,Medium,Spring,0
6-10,No,No,Medium,Spring,0
10-14,No,No,Medium,Spring,1
14-18,No,No,Medium,Spring,1
18-22,No,No,Medium,Spring,1
22-2,No,No,Medium,Spring,0
2-6,No,No,High,Spring,0
6-10,No,No,High,Spring,0
10-14,No,No,High,Spring,1
14-18,No,No,High,Spring,1
18-22,No,No,High,Spring,1
22-2,No,No,High,Spring,0
2-6,No,No,Medium,Spring,0
6-10,No,No,Medium,Spring,1
10-14,No,No,Medium,Spring,1
14-18,No,No,Medium,Spring,1
18-22,No,No,Medium,Spring,1
22-2,No,No,Medium,Spring,0
2-6,Yes,No,Medium,Spring,0
6-10,Yes,No,Medium,Spring,0
10-14,Yes,No,Medium,Spring,1
14-18,Yes,No,Medium,Spring,1
18-22,Yes,No,Medium,Spring,1
22-2,Yes,No,Medium,Spring,0
2-6,Yes,Yes,Medium,Spring,0
6-10,Yes,Yes,Medium,Spring,0
10-14,Yes,Yes,Medium,Spring,1
14-18,Yes,Yes,Medium,Spring,0
18-22,Yes,Yes,Medium,Spring,0
22-2,Yes,Yes,Medium,Spring,0
2-6,No,No,High,Spring,0
6-10,No,No,High,Spring,0
10-14,No,No,High,Spring,1
14-18,No,No,High,Spring,1
18-22,No,No,High,Spring,1
22-2,No,No,High,Spring,0
2-6,No,No,Medium,Spring,0
6-10,No,No,Medium,Spring,1
10-14,No,No,Medium,Spring,0
14-18,No,No,Medium,Spring,0
18-22,No,No,Medium,Spring,1
22-2,No,No,Medium,Spring,0
2-6,No,No,High,Spring,0
6-10,No,No,High,Spring,1
10-14,No,No,High,Spring,0
14-18,No,No,High,Spring,0
18-22,No,No,High,Spring,1
22-2,No,No,High,Spring,0
2-6,No,No,High,Spring,0
6-10,No,No,High,Spring,0
10-14,No,No,High,Spring,1
14-18,No,No,High,Spring,1
18-22,No,No,High,Spring,1
22-2,No,No,High,Spring,0
2-6,No,No,High,Spring,0
6-10,No,No,High,Spring,1
10-14,No,No,High,Spring,1
14-18,No,No,High,Spring,1
18-22,No,No,High,Spring,1
22-2,No,No,High,Spring,0
2-6,Yes,No,High,Spring,0
6-10,Yes,No,High,Spring,0
10-14,Yes,No,High,Spring,1
14-18,Yes,No,High,Spring,1
18-22,Yes,No,High,Spring,1
22-2,Yes,No,High,Spring,1
2-6,Yes,Yes,High,Spring,0
6-10,Yes,Yes,High,Spring,0
10-14,Yes,Yes,High,Spring,1
14-18,Yes,Yes,High,Spring,1
18-22,Yes,Yes,High,Spring,1
22-2,Yes,Yes,High,Spring,0
2-6,No,No,High,Spring,0
6-10,No,No,High,Spring,0
10-14,No,No,High,Spring,0
14-18,No,No,High,Spring,1
18-22,No,No,High,Spring,0
22-2,No,No,High,Spring,0
2-6,No,No,High,Spring,0
6-10,No,No,High,Spring,1
10-14,No,No,High,Spring,1
14-18,No,No,High,Spring,1
18-22,No,No,High,Spring,0
22-2,No,No,High,Spring,0
2-6,No,No,High,Spring,0
6-10,No,No,High,Spring,1
10-14,No,No,High,Spring,1
14-18,No,No,High,Spring,0
18-22,No,No,High,Spring,0
22-2,No,No,High,Spring,0
2-6,No,No,High,Spring,0
6-10,No,No,High,Spring,0
10-14,No,No,High,Spring,0
14-18,No,No,High,Spring,1
18-22,No,No,High,Spring,0
22-2,No,No,High,Spring,0
2-6,No,No,Medium,Spring,0
6-10,No,No,Medium,Spring,0
10-14,No,No,Medium,Spring,1
14-18,No,No,Medium,Spring,1
18-22,No,No,Medium,Spring,1
22-2,No,No,Medium,Spring,0
2-6,Yes,No,Medium,Spring,0
6-10,Yes,No,Medium,Spring,0
10-14,Yes,No,Medium,Spring,1
14-18,Yes,No,Medium,Spring,1
18-22,Yes,No,Medium,Spring,1
22-2,Yes,No,Medium,Spring,0
2-6,Yes,Yes,High,Spring,0
6-10,Yes,Yes,High,Spring,0
10-14,Yes,Yes,High,Spring,1
14-18,Yes,Yes,High,Spring,0
18-22,Yes,Yes,High,Spring,0
22-2,Yes,Yes,High,Spring,0
2-6,No,No,High,Spring,0
6-10,No,No,High,Spring,0
10-14,No,No,High,Spring,1
14-18,No,No,High,Spring,1
18-22,No,No,High,Spring,0
22-2,No,No,High,Spring,0
2-6,No,No,Medium,Spring,0
6-10,No,No,Medium,Spring,1
10-14,No,No,Medium,Spring,1
14-18,No,No,Medium,Spring,0
18-22,No,No,Medium,Spring,1
22-2,No,No,Medium,Spring,0
2-6,No,No,Medium,Spring,0
6-10,No,No,Medium,Spring,1
10-14,No,No,Medium,Spring,0
14-18,No,No,Medium,Spring,1
18-22,No,No,Medium,Spring,1
22-2,No,No,Medium,Spring,0
2-6,No,No,High,Spring,0
6-10,No,No,High,Spring,1
10-14,No,No,High,Spring,0
14-18,No,No,High,Spring,1
18-22,No,No,High,Spring,1
22-2,No,No,High,Spring,0
2-6,No,No,High,Spring,0
6-10,No,No,High,Spring,0
10-14,No,No,High,Spring,0
14-18,No,No,High,Spring,1
18-22,No,No,High,Spring,0
22-2,No,No,High,Spring,0
2-6,Yes,No,High,Spring,0
6-10,Yes,No,High,Spring,0
10-14,Yes,No,High,Spring,0
14-18,Yes,No,High,Spring,1
18-22,Yes,No,High,Spring,1
22-2,Yes,No,High,Spring,0
2-6,Yes,Yes,High,Spring,0
6-10,Yes,Yes,High,Spring,0
10-14,Yes,Yes,High,Spring,0
14-18,Yes,Yes,High,Spring,0
18-22,Yes,Yes,High,Spring,1
22-2,Yes,Yes,High,Spring,0
2-6,No,No,Medium,Spring,0
6-10,No,No,Medium,Spring,1
10-14,No,No,Medium,Spring,1
14-18,No,No,Medium,Spring,1
18-22,No,No,Medium,Spring,0
22-2,No,No,Medium,Spring,0
2-6,No,No,High,Spring,0
6-10,No,No,High,Spring,1
10-14,No,No,High,Spring,1
14-18,No,No,High,Spring,1
18-22,No,No,High,Spring,1
22-2,No,No,High,Spring,0
2-6,No,No,Medium,Spring,0
6-10,No,No,Medium,Spring,1
10-14,No,No,Medium,Spring,1
14-18,No,No,Medium,Spring,1
18-22,No,No,Medium,Spring,1
22-2,No,No,Medium,Spring,0
2-6,No,No,High,Spring,0
6-10,No,No,High,Spring,0
10-14,No,No,High,Spring,1
14-18,No,No,High,Spring,1
18-22,No,No,High,Spring,1
22-2,No,No,High,Spring,0
2-6,No,No,Medium,Spring,0
6-10,No,No,Medium,Spring,0
10-14,No,No,Medium,Spring,1
14-18,No,No,Medium,Spring,1
18-22,No,No,Medium,Spring,1
22-2,No,No,Medium,Spring,0
2-6,Yes,No,Medium,Spring,0
6-10,Yes,No,Medium,Spring,0
10-14,Yes,No,Medium,Spring,0
14-18,Yes,No,Medium,Spring,0
18-22,Yes,No,Medium,Spring,1
22-2,Yes,No,Medium,Spring,0
2-6,Yes,Yes,High,Spring,0
6-10,Yes,Yes,High,Spring,0
10-14,Yes,Yes,High,Spring,0
